"search","Model","stock","price","1","2","3","4","5","order"
"77042PP02","77042PP02J","2","735","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77042PP02_1.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77042PP02_2.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77042PP02_3.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77042PP02_4.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77042PP02_5.jpg"")"," "
"77083YL01","77083YL01","19","970","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083YL01_1.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083YL01_2.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083YL01_3.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083YL01_4.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083YL01_5.jpg"")"," "
"77042PP01","77042PP01J","1","735","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77042PP01_1.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77042PP01_2.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77042PP01_3.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77042PP01_4.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77042PP01_5.jpg"")"," "
"77083YM01","77083YM01","13","1015","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083YM01_1.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083YM01_2.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083YM01_3.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083YM01_4.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083YM01_5.jpg"")"," "
"8123SM02","8123SM02","2","1590","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8123SM02_1.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8123SM02_2.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8123SM02_3.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8123SM02_4.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8123SM02_5.jpg"")"," "
"77083SM03","77083SM03","13","825","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083SM03_1.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083SM03_2.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083SM03_3.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083SM03_4.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083SM03_5.jpg"")"," "
"8152YL02","8152YL02","10","1225","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8152YL02_1.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8152YL02_2.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8152YL02_3.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8152YL02_4.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8152YL02_5.jpg"")"," "
"8152SP01","8152SP01","12","1049","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8152SP01_1.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8152SP01_2.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8152SP01_3.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8152SP01_4.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8152SP01_5.jpg"")"," "
"7924NL02","7924NL02","12","1499","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/7924NL02_1.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/7924NL02_2.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/7924NL02_3.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/7924NL02_4.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/7924NL02_5.jpg"")"," "
"8152YL01","8152YL01","11","1225","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8152YL01_1.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8152YL01_2.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8152YL01_3.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8152YL01_4.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8152YL01_5.jpg"")"," "
"77085PP02","77085PP02","5","625","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77085PP02_1.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77085PP02_2.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77085PP02_3.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77085PP02_4.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77085PP02_5.jpg"")"," "
